review_id,review,true_topic,cluster,cluster_label
1,배송이 정말 빨라서 좋았어요. 다음날 바로 도착했습니다.,배송,0,배송 속도
2,배송 속도가 엄청 빠르네요. 주문한 지 하루 만에 왔어요.,배송,0,배송 속도
3,택배가 너무 늦게 왔어요. 일주일이나 걸렸습니다.,배송,0,배송 속도
4,배송이 예상보다 빨라서 만족합니다.,배송,0,배송 속도
5,배송 추적이 안 돼서 불안했어요. 택배사 문제 같아요.,배송,0,배송 속도
6,당일 배송으로 받아서 급한 거 해결했어요.,배송,0,배송 속도
7,배송 중 파손되어 왔어요. 포장을 더 신경 써주세요.,배송,0,배송 속도
8,새벽 배송 너무 편리해요. 출근 전에 받을 수 있어서 좋아요.,배송,0,배송 속도
9,제품 품질이 가격 대비 정말 좋아요. 추천합니다.,품질,1,제품 품질
10,품질이 기대 이상이에요. 마감도 깔끔하고 튼튼해요.,품질,1,제품 품질
11,품질이 별로네요. 사진이랑 많이 달라요.,품질,1,제품 품질
12,소재가 고급스럽고 마감이 꼼꼼해요.,품질,1,제품 품질
13,사진보다 색상이 많이 다르네요. 실망했어요.,품질,-1,노이즈
14,내구성이 좋아서 오래 쓸 수 있을 것 같아요.,품질,0,배송 속도
15,품질 좋고 디자인도 예뻐요. 재구매 의향 있습니다.,품질,1,제품 품질
16,처음엔 좋았는데 한 달 만에 망가졌어요.,품질,0,배송 속도
17,가격 대비 성능이 좋아요. 가성비 최고입니다.,가격,1,제품 품질
18,이 가격에 이 품질이면 완전 이득이에요.,가격,1,제품 품질
19,좀 비싼 것 같아요. 할인할 때 사는 게 좋겠어요.,가격,1,제품 품질
20,가성비 최고! 다른 데보다 훨씬 저렴해요.,가격,1,제품 품질
21,가격은 비싸지만 그만한 가치가 있어요.,가격,1,제품 품질
22,세일할 때 샀는데 정가에는 안 살 것 같아요.,가격,1,제품 품질
23,무료 배송이라 더 저렴하게 느껴져요.,가격,1,제품 품질
24,비슷한 제품 중 가장 합리적인 가격이에요.,가격,1,제품 품질
25,고객센터 응대가 정말 친절했어요. 문제 해결도 빨랐고요.,서비스,0,배송 속도
26,교환 과정이 너무 복잡해요. 개선이 필요해요.,서비스,0,배송 속도
27,AS 신청했는데 빠르게 처리해주셔서 감사해요.,서비스,0,배송 속도
28,문의 답변이 너무 늦어요. 3일이나 걸렸어요.,서비스,0,배송 속도
29,환불 요청했는데 바로 처리해주셨어요.,서비스,0,배송 속도
30,상담원분이 친절하게 설명해주셔서 좋았어요.,서비스,0,배송 속도
31,반품 절차가 간단해서 좋았어요.,서비스,0,배송 속도
32,고객센터 연결이 너무 어려워요. 전화를 안 받아요.,서비스,0,배송 속도
33,써보니까 진짜 편해요. 매일 쓰고 있어요.,만족도,0,배송 속도
34,기대했던 것보다 훨씬 좋아요. 완전 만족합니다.,만족도,-1,노이즈
35,생각보다 별로예요. 기대가 컸나 봐요.,만족도,0,배송 속도
36,가족들도 다 좋아해요. 추가로 더 살 예정이에요.,만족도,0,배송 속도
37,사용법이 간단해서 누구나 쓸 수 있어요.,만족도,0,배송 속도
38,첫 사용감이 좋아요. 앞으로도 계속 쓸 것 같아요.,만족도,0,배송 속도
39,선물용으로 샀는데 받으신 분이 너무 좋아하세요.,만족도,0,배송 속도
40,재구매했어요. 그만큼 만족스러워요.,만족도,0,배송 속도
