text,label
"# -#	Just curious (don't have to answer if you feel uncomfortable):
# -#	how many times have YOU had sex with boys?
# 
# why do you care?  if a total stranger asked you how often you had sex,
# would you answer?
# 
# # henry mensch / booz, allen & hamilton, inc.  / <henry@ads.com#

This is so typical of homosexuals -- constantly making excuses for
child molesters.


",talk.politics.misc
"
So what does that have to do with RBI's?  The team with the most RBI's
doesn't necessarily win the game.

Yes, runs are the most important statistice -- for a *team*.  (So why does
every newspaper rank team offense by batting average?)

But for an individual player, runs and RBIs are context-dependent, and tell
us very little about the player himself, and more about his teammates and
position in the batting order.",rec.sport.baseball
"Hello netters

Sorry, I don't know if this is the right way of doing this kind of thing,
probably should be a CFV, but since I don't have tha ability to create a 
news group myself, I just want to start the discussion. 

I enjoy reading c.g very much, but I often find it difficult to sort out what
I'm interested in. Everything from screen-drivers, graphics cards, graphics
programming and graphics programs are discused here. What I'd like is a 
comp.graphics.programmer news group.
What do you other think.
",comp.graphics
"
In the case of victimless crimes yes, I think so.

Think about it.  If I rob or beat up or rape or kill someone, it's very
clear to anyone not a sociopath that I've done something immoral.  On the
other hand, if I smoke grass or have sex with a consenting adult in a
manner illegal in that state, the morality or immorality of that act is
merely a lifestyle choice; it doesn;t clearly hurt anyone else.  IMO, if
such an act doesn;t hurt another person it should not be interfered with.


I think so.  And I don't use drugs, outside of the legal ones (alcohol
and coffee).",talk.politics.misc
"Betty Harvey writes,


This, simply stated, is a result of the bankrupt ethics in
the healthcare and scientific medicine industries.

America is fed up with the massive waste and fraud that is costing
us 15% of our GNP to support these industries, while delivering 
marginal health care to the community.

Unfortunately, the ""Clinton Plan"", in whatever form it
takes, will probably cost us an even greater sum.  Bleah.",sci.med
"Are there any TIFF to anything programs out there for the IBM?
Our scanner works into TIFF, and I can view it on CSHOW 8.1, but 
all of my other programs read errors.  Are there any basic Tiff to 
JPEG, GIF, PCX, BMP, etc...?

Thanks for the time...Email or post acceptable.
Joshuaf",comp.graphics
"

It's O- that is especially useful.  Still, he isn't punishing the
Red Cross but some O+ person that needed his blood and couldn't
get it.  You are right, nagging probably won't help.


-- 
----------------------------------------------------------------------------
Gordon Banks  N3JXP      | ""Skepticism is the chastity of the intellect, and
geb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon."" ",sci.med
"







Actually, Gaetti's first year with California was 1991.  His .632 DA wasn't
out of line with his career averages, and his .616 was actually below average
in 1988.  But check out the last three years at the Metrodome.

1990
Gaetti  .655
AL Avg  .604
1991
Pags    .744
Leius   .653
Al Avg  .620
1992
Leius   .680
AL Avg  .603

For the last three years, the highest DAs in either league have been posted
by Minnesota players -- three different ones, including one (Pags) who was
mediocre to horrible elsewhere.  That doesn't *prove* a park effect is at
work, any more than San Diego's horrible infield numbers prove a park effect
is at work.  But it looks like a strong possibility to me.

  Lots

And it might even be a nice play to thrid base.
-- 
Dale J. Stephenson |*| (steph@cs.uiuc.edu) |*| Baseball fanatic",rec.sport.baseball
"
The answer to your first question is rather difficult to answer without
doing a lot of autopsies.  The second question is something that's been
known for some time.  It appears that within about 15 years of quitting
smoking a person's risk for developing lung cancer drops to that of the
person who never smoked (assuming you do not get lung cancer in the
interim!).  The risk to someone who smoked the equivalent of a pack per
day for 40 years is around 20 times as high as a non-smoker.  Still
rather low overall, but significant.  Personally, I'd be more concerned
about heart disease secondary to smoking -- it's much more common, and
even a small increase in risk is significant there.
",sci.med
"
When were you in Britain?, my information is different.

From Miranda Castro, _The Complete Homeopathy Handbook_,
ISBN 0-312-06320-2, oringinally published in Britain in 1990.",sci.med
